full_name,H,diameter,albedo,e,a,q,i,n
   235 Carolina (A883 WA),8.98,57.517,0.177,0.0594,2.884,2.712,9.02,0.2013
   236 Honoria (A884 HA),8.19,77.708,0.156,0.1896,2.8,2.269,7.7,0.2104
   237 Coelestina (A884 MA),9.15,41.08,0.2108,0.0745,2.762,2.556,9.76,0.2148
   238 Hypatia (A884 NA),8.04,155.659,0.039,0.0917,2.905,2.639,12.41,0.1991
   239 Adrastea (A884 QA),10.5,37.609,0.095,0.2354,2.966,2.268,6.17,0.1929
   240 Vanadis (A884 QB),9.13,87.928,0.031,0.2088,2.663,2.107,2.11,0.2268
   241 Germania (A884 RA),7.73,168.9,0.0575,0.1062,3.046,2.722,5.52,0.1854
   242 Kriemhild (A884 SA),9.5,40.802,0.222,0.123,2.863,2.51,11.35,0.2035
   243 Ida (A884 SB),10.06,32.0,0.262,0.0461,2.863,2.731,1.13,0.2034
   244 Sita (A884 TA),11.99,11.077,0.256,0.1369,2.175,1.877,2.85,0.3073
   245 Vera (A885 CA),7.95,75.949,0.228,0.198,3.097,2.484,5.18,0.1808
   246 Asporina (A885 EA),8.62,50.891,0.193,0.1069,2.696,2.408,15.63,0.2226
   247 Eukrate (A885 EB),8.14,130.935,0.064,0.2463,2.739,2.065,24.95,0.2174
   248 Lameia (A885 LA),10.29,50.12,0.062,0.0679,2.47,2.302,4.07,0.2539
   249 Ilse (A885 QA),11.4,34.83,0.0428,0.2177,2.378,1.86,9.63,0.2688
   250 Bettina (A885 RA),7.68,120.995,0.112,0.1371,3.141,2.711,12.82,0.177
   251 Sophia (A885 TA),9.95,27.495,0.234,0.0933,3.099,2.81,10.55,0.1807
   252 Clementina (A885 TB),9.93,65.344,0.047,0.0655,3.16,2.953,10.04,0.1755
   253 Mathilde (A885 VA),10.35,52.8,0.0436,0.2643,2.647,1.947,6.74,0.2289
   254 Augusta (A886 FA),11.83,12.467,0.17,0.1217,2.195,1.928,4.51,0.3031
   255 Oppavia (A886 FB),10.52,56.939,0.038,0.0788,2.748,2.531,9.46,0.2164
   256 Walpurga (A886 GA),9.91,66.634,0.05,0.063,3.001,2.812,13.3,0.1895
   257 Silesia (A886 GB),9.68,72.66,0.0545,0.1123,3.119,2.768,3.61,0.179
   258 Tyche (A886 JA),8.24,64.78,0.1676,0.2047,2.615,2.08,14.33,0.2331
   259 Aletheia (A886 MA),7.8,174.318,0.043,0.13,3.133,2.726,10.81,0.1777
   260 Huberta (A886 TA),9.28,101.539,0.044,0.1067,3.454,3.085,6.42,0.1536
   261 Prymno (A886 UA),9.54,50.011,0.137,0.0904,2.332,2.121,3.63,0.2768
   262 Valda (A886 VA),11.67,14.645,0.211,0.2124,2.553,2.011,7.67,0.2416
